Street Name,Record Count,Years,Amendment,Notes
Canal Parade,384,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CANAL PARADE,103,1878; 1927; 1936,Canal Parade,Auto-casing match
Canal Street,74,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CANAL STREET,76,1878; 1927; 1936,Canal Street,Auto-casing match
Canal Terrace,69,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CANAL TERRACE,27,1878; 1927; 1936,Canal Terrace,Auto-casing match
CANNING STREET,2,1927; 1936,,
CANNON STREET. B,30,1878,,
Canon Street,239,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CANON STREET,70,1927; 1936,Canon Street,Auto-casing match
Capel Crescent,627,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAPEL CRESCENT,141,1927; 1936,Capel Crescent,Auto-casing match
Capel Street,557,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAPEL STREET,178,1878; 1927; 1936,Capel Street,Auto-casing match
Cardiff Road,1216,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CARDIFF ROAD,506,1878; 1927; 1936,Cardiff Road,Auto-casing match
Cardigan Place,40,1933; 1938; 1946; 1950,,
CARDIGAN PLACE,19,1936,Cardigan Place,Auto-casing match
Carey Road,18,1905; 1914; 1933; 1938; 1946; 1950,,
CAREY ROAD,3,1936,Carey Road,Auto-casing match
Carisbrook Road,5,1905,,
Carisbrooke Road,206,1914; 1933; 1938; 1946; 1950,,
CARISBROOKE ROAD,46,1936,Carisbrooke Road,Auto-casing match
Carlisle Place,39,1876; 1886; 1905; 1933; 1938; 1946,,
CARLISLE PLACE,57,1927; 1936,Carlisle Place,Auto-casing match
Carlisle Street,120,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CARLISLE STREET,35,1927; 1936,Carlisle Street,Auto-casing match
Carlton Chambers,3,1905; 1938; 1946,,
Carlton Road,127,1933; 1938; 1946; 1950,,
CARLTON ROAD,61,1936,Carlton Road,Auto-casing match
Carngethin Wharf,1,1933,,
Caroline Street,214,1886; 1905; 1914; 1933; 1938; 1946; 1950,,
CAROLINE STREET,59,1878; 1936,Caroline Street,Auto-casing match
Carpenter's Arms Lane,2,1886,,
CARPENTERS' ARMS LANE,1,1936,,
Cartwright Green,14,1950,,
Carysfort Street,1,1946,,
Castle Chambers,1,1933,,
Castle Precincts,23,1876; 1886; 1897; 1905; 1933,,
CASTLE PRECINCTS,1,1878,Castle Precincts,Auto-casing match
Castle Precints,6,1914,,
Castle Street,238,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CASTLE STREET,48,1878; 1936,Castle Street,Auto-casing match
Caxton Place,47,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAXTON PLACE,16,1878; 1936,Caxton Place,Auto-casing match
CAXTON STREET,47,1878,,
Cedar Poad,23,1905,,
Cedar Road,135,1897; 1914; 1933; 1938; 1946; 1950,,
CEDAR ROAD,32,1927; 1936,Cedar Road,Auto-casing match
CEMETERY LANE,9,1927,,
CENFED STREET,6,1927,,
Cenfedd Street,47,1914; 1933; 1938; 1946; 1950,,
CENFEDD STREET,12,1936,Cenfedd Street,Auto-casing match
CENTRAL CHAMBERS,104,1927,,
CENTURY INSTITUTE,5,1927,,
Chadwick Close,10,1950,,
Charles Street,307,1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHARLES STREET,73,1878; 1927; 1936,Charles Street,Auto-casing match
Charlotte Street,179,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CHARLOTTE STREET,40,1878; 1936,Charlotte Street,Auto-casing match
Charnwood Road,32,1933; 1938; 1946; 1950,,
