Street Name	Record Count	Years	Amendment	Notes
Clytha Square	797	1876; 1878; 1893; 1897; 1899; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clytha Terrace	57	1887; 1893; 1894		
Coldra Estate	54	1971	Coldra Estate	
Coldra Road	636	1897; 1898; 1902; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Coldra Street	406	1899		
Coleridge Road	301	1933; 1936; 1938; 1946; 1950; 1971		
Collier Street	193	1914; 1933; 1938; 1946; 1950; 1971		
Collingwood Close	57	1938; 1946; 1950; 1971		
Collingwood Road	124	1933; 1938; 1946; 1950; 1971		
Collingwood Street	20	1914		
Collins Close	19	1950; 1971		
Colne Street	197	1914; 1933; 1938; 1946; 1950; 1971		
Colston Avenue	143	1933; 1938; 1946; 1950; 1971		
Colston Place	17	1938; 1946; 1950; 1971		
Commassie Street	22	1894		
Commercial	15	1971		
Commercial Buildings	4	1876; 1933		
Commercial Road	2636	1876; 1878; 1893; 1894; 1897; 1898; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Commercial Road (contd.)	42	1878		
Commercial Street	2816	1876; 1878; 1887; 1893; 1894; 1897; 1899; 1902; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Commercial Street Contd	26	1878		
Commercial Street Post	53	1902		
Commercial Wharf	129	1876; 1886; 1897; 1905; 1914; 1933; 1938; 1946		
Compton Terrace	9	1933		
Congregational Church	15	1927	Congregational Church	Investigate
Consta	39	1971		Investigate
Constable's Lane	26	1893; 1894; 1898; 1899; 1902		
Constables Lane	23	1905; 1914; 1933; 1938; 1946; 1950		Investigate
Constables' Lane	10	1971		
Constance Street	647	1893; 1894; 1897; 1898; 1899; 1902; 1905; 1914; 1933; 1938; 1946; 1950; 1971		
Conway Croft	60	1933; 1938; 1946; 1950; 1971		
Conway Road	1032	1914; 1927; 1933; 1938; 1946; 1950; 1971		
Conway Sac	205	1933; 1936; 1938; 1946; 1950; 1971		
Conway Street	70	1902; 1903		
Coomassia Street	1	1878		
Coomassie Street	355	1893; 1897; 1899; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Coowassie Street	40	1898		
Coppins	13	1971		
Cor Corporation Road	155	1902		
Corelli Street	518	1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Cork Wharf	1	1933		
Corn Exchange Chambers	1	1886		
Corn Street	457	1876; 1878; 1893; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Cornick	41	1927		Investigate
Cornwall Road	286	1933; 1936; 1938; 1946; 1950		
Corporation Baths	40	1927	Corporation Baths	Investigate
Corporation market yard	275	1898; 1899; 1902		
Corporation Road	2748	1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Corporation Road T.S	55	1903		
